Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Dummy Baseline,0.800314465408805,0.0,0.0,0.0,0.5,0.19968553459119498
Logistic Regression,0.9140461215932913,0.8511326860841424,0.6902887139107612,0.7623188405797101,0.9498287173828222,0.8499206072551485
Logistic Regression Balanced,0.8763102725366876,0.6278659611992945,0.9343832020997376,0.7510548523206751,0.9532096798312784,0.8212267152253773
Random Forest,0.9685534591194969,0.952112676056338,0.8871391076115486,0.9184782608695652,0.9889504234367561,0.9719049327037144
Random Forest Balanced,0.9696016771488469,0.9601139601139601,0.884514435695538,0.9207650273224044,0.9881752256409991,0.9716079469279497
Gradient Boosting,0.9716981132075472,0.9455040871934605,0.910761154855643,0.9278074866310161,0.9918475318286589,0.980207927727559
Tuned Gradient Boosting,0.9680293501048218,0.9166666666666666,0.9238845144356955,0.9202614379084967,0.9906443423452226,0.9779591536703502
