feature,importance,std
avg_gas_price,0.08423772463251025,0.005718882818180521
log_unique_senders,0.07676431373628803,0.0067443121860535004
log_total_transactions,0.03697332504061643,0.004714855603902682
log_wallet_lifetime_days,0.033612722855306934,0.00392472502406141
log_total_eth_received,0.026323502785937675,0.0022106811190724966
has_token_activity,0.02141973536838553,0.001898688952412113
avg_gas_limit,0.014089981383177403,0.002205940621422424
log_avg_eth_received,0.010714614689770436,0.001784383582742544
log_avg_eth_sent,0.008095438094732265,0.0010685170151374947
transactions_per_active_day,0.0064933818608445435,0.001087042238520068
log_total_token_transfers,0.004710360698770627,0.0009709341158662194
log_unique_receivers,0.003273164802341061,0.0006875896685558707
log_token_activity_lifetime_days,0.00200499334981305,0.0006990925801068564
token_transfers_per_active_day,0.0010661366615047686,0.0002540276721295871
has_transaction_activity,0.000726416394620727,0.0004114692729816231
log_unique_token_receivers,0.00040742094038277444,0.0002527419399555493
log_total_eth_sent,0.0003954161406782231,0.00040570488543389965
