address,fraud_flag,has_transaction_activity,has_token_activity,log_total_transactions,log_unique_receivers,log_unique_senders,log_total_eth_sent,log_total_eth_received,log_avg_eth_sent,log_avg_eth_received,log_wallet_lifetime_days,transactions_per_active_day,avg_gas_limit,avg_gas_price,log_total_token_transfers,log_unique_token_receivers,log_token_activity_lifetime_days,token_transfers_per_active_day
0x8aa31705fa6f0a7801e8d881ba4c47de23d2652a,0,1,0,3.4657359027997265,2.70805020110221,2.302585092994046,4.163209287920954,4.1633163135032625,1.3895922132940934,1.9917620766491304,6.966967138613983,1.55,21100.04761904762,15600223539.380953,0.0,0.0,0.0,0.0
0x4911487b52134454384d33875dfd7d22e2c5d783,0,1,0,3.828641396489095,3.091042453358316,2.0794415416798357,4.271631993179566,4.271760966149729,1.4376618692433065,1.4040455864751236,4.700480365792417,2.5,21001.0,20000000000.0,0.0,0.0,0.0,0.0
0x2497ecd2ec7dd88e41dff727c0b6f14a85956993,0,1,0,4.477336814478207,3.784189633918261,1.9459101490553132,2.0111092263698858,2.0141807118734887,0.14019866092886155,0.13767646178130413,4.762173934797756,2.175,21000.0,25453147513.093025,0.0,0.0,0.0,0.0
0xc4fbde4c51b306e3f3e1ae55a5a888be58fcfd00,0,1,0,3.4657359027997265,2.70805020110221,2.4849066497880004,2.2091924260862332,2.2098110608467576,0.355403105231499,0.5165091538665433,6.900730664045173,2.066666666666667,21221.105263157897,10049020938.842104,0.0,0.0,0.0,0.0
0xbb90125091fd7c7953fb98b59f6ce75e2500e5db,1,1,0,3.4011973816621555,2.772588722239781,2.5649493574615367,3.438002606794801,3.3367990065944504,1.1013801816268136,1.077654726169926,1.791759469228055,5.8,21000.0,11066666666.666666,0.0,0.0,0.0,0.0
0xbb73f3373cfc40b8c0cf345f0a591fe54afd8ced,0,1,0,4.343805421853684,3.6635616461296463,1.0986122886681098,2.2419522752170176,2.2440375205897336,0.1999651550234615,0.2003883673312419,5.594711379601839,2.0,21000.0,24619241049.44737,0.0,0.0,0.0,0.0
0x5da2a7fa241c7ad7002be82a98117213a974d424,0,1,0,3.2188758248682006,2.995732273553991,1.6094379124341003,7.5219623991340185,7.52196747145394,4.58721555423757,5.9146914883020685,3.7376696182833684,6.0,21000.0,23495333091.42105,0.0,0.0,0.0,0.0
0x7665aa254c822cf6acd01bc6d120eb8ff01bdd21,0,1,0,3.367295829986474,2.70805020110221,1.3862943611198906,4.576921858524231,4.576986737513803,2.0633728849347217,2.063430111562237,2.833213344056216,2.8,21000.0,21453726646.857143,0.0,0.0,0.0,0.0
0x130a28bbeb47f6f3e20b9ecd36e2d5fed69faa7c,0,1,0,3.4965075614664802,3.044522437723423,1.0986122886681098,7.0968542046908,7.096862097070258,4.116725940684076,4.621018928542429,2.9444389791664403,3.5555555555555554,21000.0,22703091576.1,0.0,0.0,0.0,0.0
0x1339ef23b3ed049cbdf17b56aa2db72214ccac2e,0,1,0,6.202535517187923,5.049856007249537,2.0794415416798357,4.228394687082073,4.2307197158344225,0.24106904791242686,0.2441993565782885,6.693323668269949,2.200892857142857,47153.22580645161,22706071060.495968,0.0,0.0,0.0,0.0
